"","total.time","total.pct","self.time","self.pct"
"""cmpCallArgs""",0.05,0,0,0
"""getInlineInfo""",0.05,0,0,0
"""rev.default""",0.04,0,0.04,0
"""isTRUE""",0.04,0,0.03,0
"""sys.function""",0.04,0,0.01,0
""".checkGroupSigLength""",0.04,0,0,0
"""asNamespace""",0.04,0,0,0
"""cb$putconst""",0.04,0,0,0
"""cmpCallSymFun""",0.04,0,0,0
"""formals""",0.04,0,0,0
"""namespaceImportFrom""",0.04,0,0,0
"""qr.coef""",0.04,0,0,0
"""s2v""",0.04,0,0,0
"""max""",0.03,0,0.03,0
"""order""",0.03,0,0.03,0
"""stats::dbinom""",0.03,0,0.03,0
"""sys.parent""",0.03,0,0.03,0
""".recMembers""",0.03,0,0,0
"""find_birth_times""",0.03,0,0,0
"""get""",0.03,0,0,0
"""getGroupMembers""",0.03,0,0,0
"""is""",0.03,0,0,0
"""as.logical""",0.02,0,0.02,0
"""as.numeric""",0.02,0,0.02,0
"""match.fun""",0.02,0,0.02,0
"""mostattributes<-""",0.02,0,0.02,0
"""new.env""",0.02,0,0.02,0
"""getClassDef""",0.02,0,0.01,0
"""as.matrix.default""",0.02,0,0,0
"""cb$putcode""",0.02,0,0,0
"""constantFold""",0.02,0,0,0
"""constantFoldCall""",0.02,0,0,0
"""get0""",0.02,0,0,0
"""getFoldFun""",0.02,0,0,0
"""qr.qy""",0.02,0,0,0
"""simplify2array""",0.02,0,0,0
"""stats::uniroot""",0.02,0,0,0
"""try""",0.02,0,0,0
""".getClassesFromCache""",0.01,0,0.01,0
""".mergeMethodsTable""",0.01,0,0.01,0
"""%||%""",0.01,0,0.01,0
"""$""",0.01,0,0.01,0
"""anyDuplicated""",0.01,0,0.01,0
"""dim""",0.01,0,0.01,0
"""dir.exists""",0.01,0,0.01,0
"""exists""",0.01,0,0.01,0
"""gsub""",0.01,0,0.01,0
"""is.atomic""",0.01,0,0.01,0
"""Krig.make.W""",0.01,0,0.01,0
"""make.names""",0.01,0,0.01,0
"""ncol""",0.01,0,0.01,0
"""parent.frame""",0.01,0,0.01,0
"""prettyNum""",0.01,0,0.01,0
"""prod""",0.01,0,0.01,0
"""putconst""",0.01,0,0.01,0
""".genericOrImplicit""",0.01,0,0,0
""".getGeneric""",0.01,0,0,0
""".mlistAddToTable""",0.01,0,0,0
""".setupMethodsTables""",0.01,0,0,0
""".storeMlist""",0.01,0,0,0
"""assign""",0.01,0,0,0
"""cmpCallExprFun""",0.01,0,0,0
"""cmpForBody""",0.01,0,0,0
"""cmpPrim2""",0.01,0,0,0
"""Filter""",0.01,0,0,0
"""findLocalsList""",0.01,0,0,0
"""format.default""",0.01,0,0,0
"""format""",0.01,0,0,0
"""funEnv""",0.01,0,0,0
"""getGeneric""",0.01,0,0,0
"""getHook""",0.01,0,0,0
"""implicitGeneric""",0.01,0,0,0
"""isBaseVar""",0.01,0,0,0
"""make.functionContext""",0.01,0,0,0
"""makeGeneric""",0.01,0,0,0
"""methods:::.getGenerics""",0.01,0,0,0
"""methods::getFunction""",0.01,0,0,0
"""packageEvent""",0.01,0,0,0
"""qr.default""",0.01,0,0,0
"""qr""",0.01,0,0,0
"""registerS3methods""",0.01,0,0,0
"""rownames""",0.01,0,0,0
"""runUserHook""",0.01,0,0,0
"""setNames""",0.01,0,0,0
"""which""",0.01,0,0,0
