"Transition_Karyotypes","n"
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.3.2.2.2.2.1",434
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.3.1",434
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.3.2.2.2.2.1",434
"2.2.3.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",434
"2.2.3.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",434
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",433
"1.2.3.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",426
"2.2.2.1.2.2.3.2.2.1.2.2.1.1.1.2.2.2.2.2.2.1",421
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",414
"2.2.2.1.2.2.3.2.2.1.2.2.1.1.1.2.1.2.2.2.2.1",406
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.3.2.2.1",405
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",400
"1.2.2.1.2.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",384
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",384
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",384
"1.2.2.1.2.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",384
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.2",372
"2.2.2.2.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",371
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",366
"2.2.3.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",363
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",357
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.3.2.2.1",354
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",351
"2.2.2.2.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",351
"2.1.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.1.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.1.2.1.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.1.1.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.2.1.1.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.1.2.2.2.1",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.1.2.1",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.2",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.3.1",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.3.2.1",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.3.2.2.1",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.2.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.2.1.2.1.2.2.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.2.1.2.2.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.2.1.3.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.2.2.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.2.3.1.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.2.2.3.2.1.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",344
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",343
"1.2.3.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",342
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.3.1.2.2.2.1",338
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",338
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.1.2.2.2.2.2.1",337
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.1.1.2.2.2.2.1",331
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.3.1",321
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.3.3.2.2.2.2.1",320
"2.2.2.1.2.2.3.1.1.1.2.1.2.1.1.2.2.2.2.2.2.1",320
"2.2.2.1.2.2.3.3.1.1.2.1.2.1.1.2.2.2.2.2.2.1",320
"2.2.3.1.2.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",320
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",320
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",320
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",320
"2.2.3.1.2.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",320
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",306
"1.2.3.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",304
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",304
"1.2.3.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",304
"2.2.4.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",304
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",301
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.1.1",300
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",292
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",291
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.1.2.1",288
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.3.2.3.2.2.1",288
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.3.2.2.2.2.1",288
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",288
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.1.1",278
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.1.1",277
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.1.2.2.2.1",269
"1.2.2.1.2.2.3.2.2.1.2.2.1.1.1.2.1.2.2.2.2.1",268
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",264
"1.2.2.1.2.1.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",261
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.3.2.2.1",252
"2.2.2.2.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",252
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",244
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.3.2.2.1",235
"1.2.2.2.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",235
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",232
"1.2.4.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",227
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.1.2.2.2.1",225
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.1.1.2.2.2.2.1",224
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",224
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",218
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",216
"1.2.2.2.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",214
"2.1.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",214
"2.2.2.1.2.2.3.2.2.1.1.1.1.1.1.2.2.2.2.2.2.1",214
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.3.2.1",214
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.3.2.2.2.2.2.1",214
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.2.2.2.2.2.2.2.1",214
"2.2.2.1.2.2.3.2.2.1.3.1.1.1.1.2.2.2.2.2.2.1",214
"2.2.2.1.2.2.3.2.2.2.2.1.1.1.1.2.2.2.2.2.2.1",214
"2.2.2.1.2.2.3.2.3.1.2.1.1.1.1.2.2.2.2.2.2.1",214
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",202
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",200
"2.2.2.1.1.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",196
"2.2.2.2.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",193
"1.2.2.1.2.1.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",192
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",192
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",192
"1.2.2.1.2.2.2.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",192
"2.1.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",192
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",192
"2.2.2.1.2.2.2.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.3.2.2.1",192
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",192
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",192
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",192
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",192
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",189
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",188
"2.2.2.2.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",187
"2.2.3.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",185
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",182
"1.2.3.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",182
"1.2.3.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",182
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",181
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",180
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.3.2.2.1",180
"1.2.2.2.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",180
"2.2.2.1.2.1.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",180
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.1.2.2.2.1",180
"2.2.2.1.2.2.2.2.2.1.2.2.1.1.1.2.1.2.2.2.2.1",180
"2.2.2.1.1.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",177
"2.2.2.1.1.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",176
"2.2.2.1.1.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",175
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",175
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",173
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",172
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.1.2.2.2.2.2.1",172
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.3.2.1",172
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.1.2.2.2.2.2.1",172
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.1.2.2.2.2.2.1",172
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.1.2.2.2.2.2.1",172
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.1.2.2.2.2.2.1",172
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",171
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.3.2.2.1",169
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.3.2.2.1",168
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",168
"2.2.2.2.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",168
"2.1.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",166
"2.2.2.1.2.2.3.2.2.1.1.1.1.1.1.2.1.2.2.2.2.1",166
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.3.2.1",166
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.3.1.2.2.2.2.1",166
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.2.2.1.2.2.2.2.1",166
"2.2.2.1.2.2.3.2.2.1.3.1.1.1.1.2.1.2.2.2.2.1",166
"2.2.2.1.2.2.3.2.2.2.2.1.1.1.1.2.1.2.2.2.2.1",166
"2.2.2.1.2.2.3.2.3.1.2.1.1.1.1.2.1.2.2.2.2.1",166
"1.2.2.1.2.1.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",165
"1.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.1.1.2.2.2.1",165
"1.2.2.1.2.2.2.2.2.1.2.2.1.1.1.2.1.2.2.2.2.1",165
"2.2.4.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",160
"2.2.2.1.1.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",157
"2.2.2.1.1.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",156
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.3.2.2.1",152
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",152
"2.2.2.1.1.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",148
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",148
"2.2.2.1.1.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",148
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",147
"2.2.2.2.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",145
"2.2.2.2.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",145
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",145
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",145
"2.2.2.2.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",145
"2.2.2.2.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",145
"1.2.2.2.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",143
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.2",140
"2.2.2.2.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",140
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",140
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",140
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",136
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.1.1.2.2.2.2.1",136
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.3.2.1",136
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.1.1.2.2.2.2.1",136
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.1.1.2.2.2.2.1",136
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.1.1.2.2.2.2.1",136
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.1.1.2.2.2.2.1",136
"2.2.2.2.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",135
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.3.2.2.1",131
"1.2.2.1.1.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",130
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",130
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",129
"1.1.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",128
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",128
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",128
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",128
"1.2.2.1.2.2.2.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",128
"2.2.2.1.1.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",127
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",127
"2.2.2.1.1.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",127
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",126
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",126
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",126
"2.2.2.1.1.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",126
"2.2.2.1.2.1.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",126
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.1.2.2.2.1",126
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.2",126
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",126
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.3.2.2.1",126
"2.2.2.1.2.2.2.2.2.1.2.2.1.1.1.2.2.2.2.2.2.1",126
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",124
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",124
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",122
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.3.2.2.1",121
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.3.1",121
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.3.2.2.1",121
"1.2.2.1.2.2.3.2.1.1.2.1.1.1.1.2.1.2.2.2.2.1",120
"2.2.2.1.1.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",120
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",120
"2.2.2.1.1.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",120
"2.2.2.1.2.1.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",120
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.1.2.2.2.1",120
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.4.2.2.2.2.1",120
"2.2.2.1.2.2.2.2.2.1.2.2.2.1.1.1.1.2.2.2.2.1",120
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.3.2.2.1",115
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",114
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",114
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",114
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.1.2.2.2.1",113
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",112
"1.2.2.1.2.2.3.1.2.1.2.1.1.1.1.2.1.2.2.2.2.1",112
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.3.1",112
"1.2.2.1.2.2.3.3.2.1.2.1.1.1.1.2.1.2.2.2.2.1",112
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",112
"2.2.2.2.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",112
"1.2.2.1.1.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",110
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",110
"1.2.2.1.1.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",110
"1.2.2.1.2.1.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",110
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.1.2.2.2.1",110
"1.2.2.1.2.2.2.2.2.1.2.2.2.1.1.1.1.2.2.2.2.1",110
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.3.2.2.1",110
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.1.2.2.2.1",110
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.3.1",110
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.3.2.2.1",110
"2.1.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",109
"2.2.3.1.2.2.3.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",109
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",109
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",109
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",109
"2.2.3.1.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",109
"2.2.3.1.2.2.3.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",109
"2.2.3.1.2.2.3.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",109
"2.2.3.1.2.2.3.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",109
"1.2.2.1.1.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",107
"1.2.2.2.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",107
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",107
"1.2.2.2.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",107
"1.2.2.1.1.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",106
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",105
"2.2.2.2.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",105
"2.2.2.2.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",105
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.1.1.2.2.2.2.1",104
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.1.2.1",104
"1.2.2.1.2.2.3.2.2.1.2.1.1.2.1.2.1.2.2.2.2.1",104
"2.2.2.1.1.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",104
"2.2.2.1.2.1.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",103
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.3.2.2.1",103
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",102
"2.2.2.1.1.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",102
"2.2.2.2.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",101
"1.1.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",100
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",100
"1.2.2.1.2.2.3.2.2.1.1.1.1.1.1.2.1.2.2.2.2.1",100
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.3.2.1",100
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.3.1.2.2.2.2.1",100
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.2.2.1.2.2.2.2.1",100
"1.2.2.1.2.2.3.2.2.1.3.1.1.1.1.2.1.2.2.2.2.1",100
"1.2.2.1.2.2.3.2.2.2.2.1.1.1.1.2.1.2.2.2.2.1",100
"1.2.2.1.2.2.3.2.3.1.2.1.1.1.1.2.1.2.2.2.2.1",100
"2.2.2.1.2.1.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",99
"2.2.2.2.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",97
"1.1.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",96
"1.2.2.1.2.2.2.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",96
